Mean,Term1,Term2
618.5,atherosclerosis,heartburn
1398.25,dizziness,vertigo
1387.25,ataxia,ethanol
917.0,clonus,spasm
787.5,diabetes,psoriasis
519.25,thromboembolism,dermatitis
528.0,erythema,tremor
1313.5,comatose,hyperglycemia
1350.0,hepatitis,hepatomegaly
1285.75,fibrillation,thrombus
582.0,bronchitis,loperamide
1399.5,infertility,anovulation
330.25,comatose,cataracts
268.0,toothache,ataxia
699.75,snoring,loperamide
477.5,epilepsy,ischemia
1070.0,clubbing,dyspnea
1475.5,hyperemesis,vomiting
662.5,constipation,calan
1002.25,headache,flushing
448.5,mittelschmerz,aphonia
1378.75,hepatitis,tylenol
1286.25,dermatitis,aloe
1023.5,constipation,diarrhea
1429.5,hunger,starvation
856.75,epilepsy,alcohol
1214.0,brucellosis,zoonosis
1483.25,meningitis,headache
1036.5,leukopenia,bleomycin
1072.5,deafness,otitis
1266.25,pneumoniae,septicemia
221.0,snoring,welts
772.25,colchicine,prednisolone
1338.5,tuberculosis,hemoptysis
406.25,rabies,acne
1364.0,angina,dyspnea
778.25,thromboembolism,hemoptysis
1180.25,medrol,prednisolone
964.75,polyuria,chyluria
1040.0,cirrhosis,hematemesis
1161.25,candidiasis,mycosis
1109.0,acetylcysteine,tylenol
615.75,diabetes,codeine
489.5,hyperextension,hunger
756.0,myopathy,trembling
788.25,starvation,cisplatin
1298.25,regurgitation,heartburn
463.75,cataracts,insulin
848.0,otitis,meningism
997.75,cromolyn,prednisolone
515.25,epilepsy,anosmia
1011.0,albumin,heparin
343.5,acne,ataxia
812.25,mycoses,meningitis
525.75,herpes,cholestasis
747.75,epilepsy,hepatomegaly
276.5,peritonitis,ataxia
718.25,giardiasis,avitaminosis
1425.5,dyslipidemia,lipitor
392.5,seizures,aloe
279.5,allergy,heartburn
465.0,drooling,chills
1115.0,agitation,morphine
884.75,pyorrhea,nephritis
1247.0,encephalitis,meningism
685.25,bandemia,nausea
1261.5,dyslipidemia,cholestyramine
679.5,nocturia,ethanol
1424.0,goiter,hypothyroidism
1044.25,grimaces,hemiballismus
1064.0,pyorrhea,dysuria
441.25,photosensitization,aphonia
1252.25,hypersomnolence,snoring
917.5,arthralgia,clubbing
1417.25,obesity,diabetes
1307.75,colchicine,probenecid
1058.5,opisthotonus,seizures
1244.0,alcohol,antabuse
257.0,dysentery,esmolol
670.0,arthralgia,chyluria
856.25,uremia,pyorrhea
1256.0,angina,toprol
1152.0,hyperinsulinism,diabetes
641.75,formication,paresthesia
1368.75,hyperemesis,nausea
972.75,nitroglycerine,toprol
1325.75,encephalitis,meningitis
829.5,calan,echinacea
640.25,leukopenia,penicillin
1084.25,allergy,heparin
586.5,acetylcysteine,adenosine
1270.25,zoonosis,babesiosis
987.5,pallor,albumin
664.5,hemicrania,nitroglycerine
1139.0,angina,heartburn
475.0,sleeplessness,dextran
1122.25,cefaclor,cefoxitin
656.25,vasculitis,hemiplegia
473.5,cataracts,pancreatitis
487.0,reticulocytosis,hematemesis
241.5,mannitol,tylenol
1231.25,dizziness,fatigue
825.5,rheumatism,colchicine
1225.75,neuropathy,syphilis
527.25,exophthalmos,hepatosplenomegaly
438.75,vasculitis,convulsion
1272.5,mycosis,histoplasmosis
1254.0,arthritis,metatarsalgia
1066.5,bronchitis,pneumonia
1427.75,dehydration,gastroenteritis
865.75,tuberculosis,clubbing
544.5,hemicrania,tylenol
753.0,plague,adenitis
776.0,gastroenteritis,cromolyn
1049.75,myositis,myopathy
455.0,atherosclerosis,toothache
1135.0,zoonosis,plague
635.5,hemochromatosis,polyuria
815.5,asthenia,cachexia
1319.25,photophobia,meningism
516.25,erythema,dilantin
947.25,diarrhea,colchicine
300.0,uremia,aspirin
798.0,hemoptysis,protamine
293.0,fibrillation,halitosis
770.75,avitaminosis,starvation
1471.75,neuropathy,diabetes
1394.75,diabetes,ketonuria
1110.75,levaquin,avelox
215.5,dementia,aloe
664.0,cirrhosis,hernia
1382.75,pallor,iron
1134.75,infertility,carboplatin
1148.5,thromboembolism,fibrillation
668.25,gastroenteritis,insulin
588.0,blepharospasm,mittelschmerz
1301.25,dyslipidemia,angina
1364.0,syphilis,dementias
787.25,metatarsalgia,toothache
1111.25,leucovorin,methotrexate
444.0,hyperinsulinism,snoring
1107.75,catatonia,lethargy
1380.25,thromboembolism,heparin
439.5,starvation,mittelschmerz
1377.5,torticollis,spasm
1514.5,ethanol,alcohol
688.0,erythromycin,lidocaine
663.75,virilization,drooling
879.75,appendicitis,cefazolin
239.0,hernias,earache
773.0,pneumonia,meningitis
1485.0,diabetes,insulin
305.75,pyorrhea,snoring
1277.0,parasitemia,malaria
1309.0,wheezing,stridor
379.0,rheumatism,sleeplessness
362.75,colitis,epilepsy
1085.5,polyuria,insulin
827.75,pertussis,leprosy
794.75,cardiomyopathies,syncope
1354.25,dyslipidemia,hyperlipidemia
1352.0,coumadin,aspirin
722.0,leukopenia,pneumonia
601.75,sandimmune,prednisolone
1238.0,agranulocytosis,leukopenia
261.0,blepharospasm,bedwetting
1061.0,glomerulosclerosis,proteinuria
1258.25,dermatitis,allergy
460.75,anovulation,torticollis
610.0,snoring,stridor
1370.5,hepatomegaly,hepatosplenomegaly
1061.0,dysuria,cipro
1191.5,fibrillation,atenolol
806.0,uremia,hypersomnolence
1248.0,pallor,blanching
1273.0,coccidioidomycosis,histoplasmosis
1265.75,pneumoniae,weakness
789.5,histoplasmosis,prednisolone
1033.75,hypothyroidism,comatose
1273.0,asthenia,weakness
1340.0,arthritis,rheumatism
1344.75,heparin,protamine
704.75,ketonuria,chyluria
1363.5,tiredness,hypersomnolence
658.5,seizures,calamine
1225.5,meningitis,meningism
511.5,clubbing,constipation
1269.75,hemoptysis,hematemesis
296.25,bleomycin,antabuse
1399.75,polydipsia,polyuria
1068.25,spasm,sciatica
1063.75,pancreatitis,diabetes
391.0,anosmia,constipation
292.25,mittelschmerz,toothache
1291.5,syncope,weakness
1406.5,allopurinol,colchicine
615.75,dyslipidemia,activase
311.0,cluttering,nitroglycerine
1389.75,pallor,weakness
326.25,osteoporosis,cardiomyopathy
1043.0,cataracts,diabetes
1310.0,syphilis,penicillin
1099.5,comatose,anoxia
262.75,asthma,urolithiasis
1255.25,dermatomyositis,myopathy
560.0,heartburn,eructation
1427.75,starvation,anorexia
411.5,infertility,blepharospasm
275.5,aneurysm,osteoporosis
1218.0,thalassemia,hemoglobinopathy
553.5,angina,diarrhea
926.5,anemia,coumadin
1279.25,diabetes,hyperglycemia
871.25,pallor,aspirin
1224.75,hypothyroidism,weakness
1375.5,anemia,iron
488.5,overeating,seizures
1432.5,syphilis,gonorrhea
409.75,cortisone,adenosine
345.0,cholelithiasis,bronchitis
650.75,chills,snoring
987.75,hemoptysis,coumadin
488.5,ataxia,ketamine
1389.0,sluggishness,fatigue
957.25,hypoproteinemia,hunger
1354.0,influenza,pneumoniae
1550.5,iron,iron
528.5,glaucoma,fibrillation
1064.25,isosorbide,toprol
1420.5,enalapril,lisinopril
666.75,erythromycin,allopurinol
1028.75,dehydration,syncope
1359.5,agranulocytosis,anemia
1357.75,atherosclerosis,angina
931.25,hemophilia,hemoptysis
1341.5,pneumoniae,dyspnea
1439.5,proteinuria,diabetes
570.25,hernias,dementia
593.5,dysuria,hemoptysis
1349.75,nocturia,diabetes
1456.75,nausea,vomiting
678.5,thalassemia,tremor
333.0,pancreatitis,flatulence
1439.75,diabetes,polyuria
720.5,rheumatism,prednisolone
742.0,metatarsalgia,colchicine
630.5,osteoporosis,thrombus
246.25,clubbing,garlic
1409.75,gastroenteritis,dysentery
1280.0,myelosuppression,chloramphenicol
