Mean,Term1,Term2
367.75,earache,crowning
728.5,thromboembolism,syncope
948.75,hypothyroidism,tiredness
555.25,myopathy,trembling
567.75,mittelschmerz,toothache
1047.0,proteinuria,diabetes
969.75,thromboembolism,heparin
923.5,rheumatism,tylenol
343.0,leukopenia,cefaclor
1187.5,schistosomiasis,parasitemia
889.5,dyslipidemia,cholestyramine
355.25,mycosis,pain
680.25,nocturia,ethanol
634.0,grimaces,hemiballismus
256.25,rabies,acne
682.0,weakness,cortisone
1330.75,lipitor,zocor
317.5,arthralgia,clubbing
363.5,vasculitis,hemiplegia
725.5,fibrillation,angina
960.5,syphilis,dementias
809.5,dyslipidemia,hyperlipidemia
1058.75,esmolol,amiodarone
897.0,anemia,reticulocytosis
