Mean,Term1,Term2
100.0,dyspnea,cyanosis
100.0,anosmia,constipation
100.0,photosensitization,dermatitis
100.0,hypoproteinemia,hunger
100.0,anosmia,aphonia
100.0,esmolol,amiodarone
100.0,clonus,spasm
100.0,clubbing,constipation
100.0,seizures,calamine
100.0,dysentery,esmolol
100.0,tuberculosis,hemoptysis
100.0,anemia,coumadin
100.0,chills,snoring
100.0,nausea,vomiting
100.0,cefepime,bacitracin
100.0,tiredness,hypersomnolence
100.0,snoring,stridor
100.0,hemochromatosis,polyuria
100.0,neuropathy,syphilis
100.0,gastroenteritis,cromolyn
100.0,dyspnea,penicillin
100.0,earache,crowning
100.0,osteoporosis,prednisolone
100.0,medrol,prednisolone
100.0,penicillin,cefazolin
100.0,erythema,tremor
100.0,asthma,urolithiasis
100.0,infertility,blepharospasm
100.0,colchicine,prednisolone
100.0,pneumoniae,septicemia
100.0,infertility,fibrillation
100.0,osteoporosis,cardiomyopathy
100.0,plague,cholestyramine
100.0,polydipsia,polyuria
100.0,dysuria,cipro
100.0,bronchitis,pneumonia
100.0,diarrhea,colchicine
100.0,syphilis,gonorrhea
100.0,calamine,bleomycin
100.0,isosorbide,toprol
100.0,vasculitis,convulsion
100.0,ketonuria,starvation
100.0,angina,corkscrewing
100.0,diarrhea,cefaclor
100.0,neuropathy,diabetes
100.0,bleomycin,antabuse
100.0,tiredness,calan
100.0,proteinuria,diabetes
100.0,glaucoma,headache
100.0,albumin,heparin
100.0,catatonia,lethargy
100.0,meningism,hyperesthesia
100.0,hepatitis,hepatomegaly
100.0,atherosclerosis,angina
100.0,hematemesis,vomiting
100.0,fibrillation,angina
100.0,hypersomnolence,snoring
100.0,uremia,nausea
100.0,cromolyn,prednisolone
100.0,influenzae,amantadine
100.0,iron,iron
100.0,polyuria,chyluria
100.0,syncope,weakness
100.0,neuropathy,constipation
100.0,ethanol,alcohol
100.0,comatose,cataracts
100.0,coumadin,aspirin
100.0,hyperemesis,nausea
100.0,snoring,ethanol
100.0,bronchitis,loperamide
100.0,photosensitization,aphonia
100.0,erythromycin,lidocaine
100.0,syphilis,dementias
100.0,schistosomiasis,parasitemia
100.0,herpes,cholestasis
100.0,levaquin,avelox
100.0,nitroglycerine,toprol
100.0,psoriasis,atherosclerosis
100.0,mycosis,pain
100.0,plague,adenitis
100.0,meningitis,headache
100.0,anoxia,seizures
100.0,overeating,seizures
100.0,cardiomyopathy,angina
100.0,rheumatism,sleeplessness
100.0,grimaces,hemiballismus
100.0,clubbing,garlic
100.0,photopsia,headache
100.0,adenitis,stridor
100.0,hyperacusis,bleomycin
100.0,myelosuppression,snoring
100.0,dyslipidemia,lipitor
100.0,obesity,diabetes
100.0,meningitis,tuberculosis
100.0,dermatitis,allergy
100.0,pallor,aspirin
100.0,earache,hyperacusis
100.0,dizziness,atenolol
100.0,arthralgia,pain
100.0,vasculitis,hemiplegia
100.0,drooling,chills
100.0,snoring,loperamide
100.0,mycoses,meningitis
100.0,sluggishness,fatigue
100.0,syphilis,penicillin
100.0,anemia,reticulocytosis
100.0,hemoptysis,coumadin
100.0,arthralgia,neuralgia
100.0,rabies,acne
100.0,psoriasis,arthritis
100.0,torticollis,erythromycin
100.0,leukopenia,penicillin
100.0,constipation,calan
100.0,agitation,morphine
100.0,dyslipidemia,hyperlipidemia
100.0,obesity,snoring
100.0,constipation,diarrhea
100.0,epilepsy,hepatomegaly
100.0,gastroenteritis,dysentery
100.0,atenolol,lasix
100.0,encephalitis,headache
100.0,nocturia,diabetes
100.0,appendicitis,peritonitis
100.0,angina,diarrhea
100.0,anovulation,torticollis
100.0,hemochromatosis,arthritis
100.0,ketonuria,insulin
100.0,enalapril,lisinopril
100.0,cataracts,pancreatitis
100.0,dehydration,starvation
100.0,weakness,cortisone
100.0,angina,dyspnea
100.0,allopurinol,colchicine
100.0,pain,morphine
100.0,nocturia,ethanol
100.0,myositis,myopathy
100.0,hemoglobinopathy,pain
100.0,hyperoxia,anoxia
100.0,hemophilia,thromboembolism
100.0,deafness,ataxia
100.0,epilepsy,alcohol
100.0,peritonitis,ataxia
100.0,rheumatism,tylenol
100.0,anosmia,digoxin
100.0,agranulocytosis,anemia
100.0,syncope,atenolol
